"p_id";"p_ident";"p_number";"p_projet";"p_type";"p_titre";"p_type_com";"p_speaker_invite";"p_nom_conference";"p_date_debut_conference";"p_date_fin_conference";"p_ville_conference";"p_pays_conference";"p_lien_conference";"p_nom_journal";"p_publication_journal";"p_volume_journal";"p_pages_journal";"p_annee_publication";"p_doi";"p_url_bdd";"p_date_soumission";"p_date_notification";"p_date_soumission_finale";"p_nom_responsable";"p_liste_auteurs";"p_affiliation";"p_directeur_stage";"p_date_debut_stage";"p_date_fin_stage";"p_award";"p_date_soutenance_these";"p_composition_jury_these";"p_etablissement_delivrant_these";"p_directeur_these";"p_date_debut_these";"p_date_fin_these";"p_nom_meeting";"p_date_meeting";"p_auteur";"p_avec_abstract";"Statut";"p_actif";"pf_id";"pf_publication_id";"pf_type";"pf_version_of";"pf_file";"pf_abstract";"pf_titre";"pf_notes";"pf_postman";"pf_timestamp";"pf_actif"
"10";"M031-1";"1";"M031";"communication";"Influence du traitement thermique post fabrication et d’un vieillissement sur la microstructure d’un alliage Al-Si-Mg élaboré par fabrication additive";"";"";"2ème Journées des Doctorants AddimAlliance";"01/07/2021";"02/07/2021";"Albi";"France";"http://www.addimalliance.fr/siteWeb/";"";"";"";"";"";"";"";"01/07/2021";"01/07/2021";"01/07/2021";"";"Nicolas BELLO, Cassiopée GALY, Joel DOUIN";"IRT/CEMES, IRT , CEMES";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000089";"0";"Réalisé";"1";"5";"10";"doc_final";"0";"2021-06/1623838758-828-2021_MAT_BELLLO_Influence-du-traitement-thermique-post-fabrication-et-d...un-vieillissement-ADDIMALLIANCE_2021-V0.pdf";"";"2021_MAT_BELLLO_Influence du traitement thermique post fabrication et d’un vieillissement ADDIMALLIANCE_2021 V0";"";"0000000832";"1623838758";"1"
"11";"M031-2";"2";"M031";"communication";"Presence of Nb rich Carbide during High Temperature Heat treatment on Additively Manufactured IN718";"";"";"2ème Journ2es des Doctorants AddimAlliance";"01/07/2021";"02/07/2021";"Albi";"France";"http://www.addimalliance.fr/siteWeb/";"";"";"";"";"";"";"";"01/07/2021";"01/07/2021";"01/07/2021";"";"Selda NAYIR, Bertrand MAX, Simon PERUSIN, Todd PALMER";"IRT/PennState University, IRT, IRT, PennState University";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000089";"0";"Réalisé";"1";"7";"11";"doc_final";"6";"2021-06/1624292712-560-2021_MAT_NAYIR_Presence-of-Nb-rich-Carbide-during-High-Temperature-Heat-treatment_-ADDIMALLIANCE_2021-V0.pdf";"";"Presence of Nb rich Carbide during High Temperature Heat treatment on Additively Manufactured IN718";"";"0000000832";"1624292712";"1"
"12";"M031-3";"3";"M031";"communication";"Influence de l’oxydation à 500-600°C sur les propriétés mécaniques en traction de l’alliage TA6V issu de fabrication additive";"";"";"Journées Annuelles du Groupement de Recherche (GdR) COnCOrD (COuplage méCanique Oxydation Diffusion) 2021";"07/07/2021";"08/07/2021";"La Rochelle";"France";"https://gdr-concord.cnrs.fr/evenement/seminaire-du-gdr-1-a-la-rochelle-le-7-et-8-juillet-2021/";"";"";"";"";"";"";"";"21/06/2021";"21/06/2021";"21/06/2021";"";"Antoine Casadebaigt , Daniel Monceau, Jonathan Hugues";"IRT, CIRIMAT, IRT";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000089";"0";"Réalisé";"1";"8";"12";"doc_final";"0";"2021-06/1624293210-611-2021_MAT_CASADEBAIGT_Influence-de-l...oxydation-..-500-...-600-..C-sur-les-propri..t..s-m..caniques_JADGR_2021.pdf";"";"Influence de l’oxydation à 500-600°C sur les propriétés mécaniques en traction de l’alliage TA6V issu de fabrication additive";"";"0000000832";"1624293210";"1"
"17";"M031-4";"4";"M031";"communication";"Changes on Textural Properties of Additively Manufactured IN718 during High Temperature Homogenization Process";"";"";"MRS Fall Meeting and Exhibit";"28/11/2021";"03/12/2021";"Boston";"USA";"https://www.mrs.org/meetings-events/fall-meetings-exhibits/2021-mrs-fall-meeting";"";"";"";"";"";"";"";"23/06/2021";"23/06/2021";"23/06/2021";"";"Selda NAYIR, Bertrand MAX, Simon PERUSIN, Todd PALMER";"IRT/PennState University, IRT, IRT, PennState University";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000089";"0";"Réalisé";"1";"12";"17";"doc_final";"0";"2021-06/1624981700-546-2021_MAT_NAYIR_Changes-on-Textural-Properties-of-Additively-Manufactured-IN718_MRS-2021.pdf";"";"Changes on Textural Properties of Additively Manufactured IN718 during High Temperature Homogenization Process";"";"0000000832";"1624981700";"1"
"21";"M031-5";"5";"M031";"communication";"Sample preparation influence on a direct artificially aged Al-Si-Mg alloy elaborated by laser beam melting";"";"";"TMS2022";"27/02/2022";"03/03/2022";"Anaheim";"Autriche";"https://www.tms.org/AnnualMeeting/TMS2022";"";"";"";"";"";"";"";"01/07/2021";"01/07/2021";"";"";"Nicolas Bello, Cassiopée Galy, Céline Larignon, Joël Douin";"IRT/CEMES, IRT , IRT, CEMES";"";"";"";"";"";"";"";"";"";"";"";"";"0000000089";"0";"Réalisé";"1";"658";"21";"doc_publie";"0";"2023-11/1699370417-964-2022_MAT_BELLO_Sample-preparation-influence-on-a-direct-artificially-aged-Al-Si-Mg-alloy-_TMS2022-V1.pdf";"2021-07/1625238440-665-2022_MAT_BELLO_Sample-preparation-influence-on-a-direct-artificially-aged-Al-Si-Mg-alloy-_TMS2022-V1.pdf";"";"";"0000000832";"1699370417";"1"
"46";"M031-9";"9";"M031";"communication";"Influence de l’oxydation à 500 600 °C sur les propriétés mécaniques en traction de l’alliage de titane TA6V issu de fabrication additive ";"";"";"Journées Annuelles du GRD ConCOrd";"07/07/2021";"08/07/2021";"Webconference";"France";"https://gdr-concord.cnrs.fr/activites/";"";"";"";"";"";"";"";"";"";"";"";"Antoine Casadebaigt, Daniel Monceau, Jonathan Hugues ";"IRT/CIRIMAT, CIRIMAT, IRT";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000089";"0";"Réalisé";"1";"32";"46";"doc_final";"0";"2021-10/1634109880-272-2021_MAT_CASADEBAIGT_Influence-de-l...oxydation-..-500-...-600-..C-sur-les-propri..t..s-m..caniques_JADGR_2021.pdf";"";"Influence de l’oxydation à 500 600 °C sur les propriétés mécaniques en traction de l’alliage de titane TA6V issu de fabrication additive";"";"0000000832";"1634109880";"1"
"60";"M031-11";"11";"M031";"communication";"Contribution of the introduction of artificial defects by additive manufacturing to the determination of the Kitagawa diagram of Al-Si alloys";"";"";"Fatigue Design 2021";"17/11/2021";"18/11/2021";"Senslis";"France";"http://fatiguedesign.org/";"";"";"";"";"";"";"";"";"";"";"";"M. Bonneric , C. Brugger, N. Saintier , A. Castro Moreno , B. Tranchand";"Arts et Métiers Institute of Technology, I2M, France  IRT Saint-Exupery, France";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000089";"0";"Réalisé";"1";"417";"60";"doc_final";"38";"2023-03/1677678842-803-2021_MAT_Bon_PRES---Contribution-of-the-introduction-of-artificial-defects_FatigueDesign-V1.pdf";"";"";"";"0000000832";"1677678842";"1"
"62";"M082-2";"2";"M082";"communication";"Effect of Microstructure Scale on the Erosion Behavior  of Cascaded-Arc Plasma Spray Coatings ";"";"";"International Thermal Spray conference - ITSC 2021";"24/05/2021";"28/05/2021";"Visio";"Visio";"https://www.asminternational.org/web/itsc-2021";"";"";"";"";"";"";"";"16/09/2020";"17/09/2020";"28/04/2021";"";"Simon GOUTIER, Christophe CHAZELAS, Armelle VARDELLE ; Sophie SENANI, Aurélien JOULIA ; Julien ESCOBAR, Maxence GOMBAULT";"University of Limoges-IRCER ; SAFRAN TECH ; IRT SE";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000669";"0";"Réalisé";"1";"442";"62";"doc_final";"0";"2023-03/1678272277-674-ITSC-2021_Maxence-GOMBAULT_2e-version-2.pptx";"";"";"";"0000000669";"1678272277";"1"
"63";"M082-3";"3";"M082";"communication";"Elaboration of multifunctional coatings by suspension plasma spray for aeronautical applications ";"";"";"Journées des doctorants Safran 2021 à Safran Tech ";"20/10/2021";"20/10/2021";"Montigny";"France";"";"";"";"";"";"";"";"";"12/10/2021";"13/10/2021";"15/10/2021";"";"Maxence GOMBAULT, Julien RSCOBAR ; Simon GOUTIER, Christophe CHAZELAS, Armelle VARDELLE ; Sophie SENANI, Aurélien JOULIA";"IRT Saint-Exupéry, IRCER, Safran Tech";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000669";"0";"Réalisé";"1";"443";"63";"doc_final";"0";"2023-03/1678272335-979-Maxence-GOMBAULT_JDD-SAFRAN.-version-finale.pdf";"";"";"";"0000000669";"1678272335";"1"
"64";"M082-4";"4";"M082";"communication";"Elaboration de revêtements anti-érosion et anti-icing par projection plasma de suspensions ";"";"";"A3TS Pau ";"08/12/2021";"09/12/2021";"Pau";"France";"https://www.a3ts.org/conferences/projection-thermique-reparation-et-rechargement-2021/";"";"";"";"";"";"";"";"21/07/2020";"05/08/2020";"06/08/2020";"";"Maxence GOMBAULT, Julien ESCOBAR ; Simon GOUTIER, Christophe CHAZELAS, Armelle VARDELLE, ; Sophie SENANI, Aurélien JOULIA";"IRT Saint-Exupéry, IRCER, Safran Tech";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000669";"0";"Réalisé";"1";"444";"64";"doc_final";"0";"2023-03/1678272434-285-R..sum..-A3TS-Maxence-bis.docx";"";"";"";"0000000669";"1678272434";"1"
