"p_id";"p_ident";"p_number";"p_projet";"p_type";"p_titre";"p_type_com";"p_speaker_invite";"p_nom_conference";"p_date_debut_conference";"p_date_fin_conference";"p_ville_conference";"p_pays_conference";"p_lien_conference";"p_nom_journal";"p_publication_journal";"p_volume_journal";"p_pages_journal";"p_annee_publication";"p_doi";"p_url_bdd";"p_date_soumission";"p_date_notification";"p_date_soumission_finale";"p_nom_responsable";"p_liste_auteurs";"p_affiliation";"p_directeur_stage";"p_date_debut_stage";"p_date_fin_stage";"p_award";"p_date_soutenance_these";"p_composition_jury_these";"p_etablissement_delivrant_these";"p_directeur_these";"p_date_debut_these";"p_date_fin_these";"p_nom_meeting";"p_date_meeting";"p_auteur";"p_avec_abstract";"Statut";"p_actif";"pf_id";"pf_publication_id";"pf_type";"pf_version_of";"pf_file";"pf_abstract";"pf_titre";"pf_notes";"pf_postman";"pf_timestamp";"pf_actif"
"22";"M031-6";"6";"M031";"conference";"TEM dislocation interaction with the microstructure of an Al-Si-Mg alloy elaborated by laser beam melting";"";"";"TMS2022";"27/02/2022";"03/03/2022";"Anaheim";"USA";"https://www.tms.org/AnnualMeeting/TMS2022";"";"";"";"";"";"";"";"01/07/2021";"";"";"";"Nicolas Bello1, Malo Jullien2, Cassiopée Galy1, Céline Larignon1 et Joël Douin2";"IRT / CEMES, CEMES, IRT, IRT, CEMES";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000089";"1";"Réalisé";"1";"22";"22";"doc_final";"0";"2021-09/1631265774-615-2022_MAT_BELLO_TEM-dislocation-interaction-with-the-microstructure-of-an-Al-Si-Mg-alloy--_TMS2022-V1.pdf";"2021-07/1625238529-564-2022_MAT_BELLO_TEM-dislocation-interaction-with-the-microstructure-of-an-Al-Si-Mg-alloy--_TMS2022-V1.pdf";"";"";"0000000832";"1631265774";"1"
"27";"M031-7";"7";"M031";"conference";"On the use of X-ray microtomography to control artificial defect geometries produced by metal additive manufacturing";"";"";"ICT Conference 2022 - 11th Conference on Industrial Computed Tomography";"08/02/2022";"11/02/2022";"Wels";"Austria";"https://3dct.at/cms2/index.php/de/welcome2022";"";"";"";"";"";"";"";"20/07/2021";"";"";"";"Julien Lesseur, Benoit Tranchand";"IRT, IRT";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000089";"1";"Réalisé";"1";"355";"27";"doc_final";"353";"2023-02/1677142101-688-2022_MAT_LESSEUR_On-the-use-of-X-ray-microtomography-to-control-artificial-defect-geometries_ICT2022-.Presentation..pdf";"2021-07/1625649050-179-2022_MAT_LESSEUR_On-the-use-of-X-ray-microtomography-to-control-artificial-defect-geometries_ICT2022.pdf";"";"";"0000000832";"1677142101";"1"
"28";"M031-8";"8";"M031";"conference";"TEM characterization of an AS7G06 alloy with several heat treatments";"";"";"TMS2022";"27/02/2022";"03/03/2022";"Anaheim";"Austria";"https://www.tms.org/AnnualMeeting/TMS2022";"";"";"";"";"";"";"";"";"";"";"";"Nicolas Bello, Cassiopée Galy, Céline Larignon, Joël Douin";"IRT/CEMES, IRT , IRT, CEMES";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000089";"1";"Réalisé";"1";"357";"28";"doc_final";"0";"2023-02/1677142526-305-2022_MAT_BELLO_TEM-characterization-of-an-AS7G06-alloy-with-several-heat-treatments_TMS2022-V1.pdf";"2021-07/1626772018-922-2022_MAT_BELLO_TEM-characterization-of-an-AS7G06-alloy-with-several-heat-treatments_TMS2022-V1.pdf";"";"";"0000000832";"1677142526";"1"
"44";"M011-1";"1";"M011";"conference";"Contributions of augmented simulation to identification of material parameters: application to lattice structures";"";"";"IDICS";"03/11/2021";"05/11/2021";"Nantes";"France";"";"";"";"";"";"";"";"";"";"";"";"";"Ludovic BARRIERE, Philippe BRAMMER";"IRT Saint Exupery, EIKOSIM";"";"";"";"";"";"";"";"";"";"";"";"";"0000000004";"1";"Réalisé";"1";"49";"44";"doc_publie";"0";"2021-11/1636983632-363-IDICS2021_BARRIERE.pdf";"2021-10/1633968230-334-summary-barriere-ludovic-2020-03-15102853.pdf";"";"";"0000000004";"1636983632";"1"
"55";"M031-10";"10";"M031";"conference";"In situ TEM observations on an aluminium alloy elaborated by laser beam melting";"";"";"2022 MRS Spring Meeting & Exhibit";"08/05/2022";"13/05/2022";"Honolulu";"USA";"https://www.mrs.org/meetings-events/spring-meetings-exhibits/2022-mrs-spring-meeting";"";"";"";"";"";"";"";"";"";"";"";"Nicolas Bello, Malo Jullien, Cassiopée Galy, Céline Larignon, Joël Douin";"1. MMP, IRT Saint Exupéry, Toulouse, Occitanie, France.  2. PPM, Centre d’Élaboration des Matériaux et d’Etudes Structurales, Toulouse, Occitanie, France.  3. SUMO, Institut Clément Ader (UMR CNRS 5312), Toulouse, Occitanie, France. ";"";"";"";"";"";"";"";"";"";"";"";"";"0000000089";"1";"Réalisé";"1";"41";"55";"doc_final";"0";"2021-11/1636103938-245-2022_MAT_BELLO_TITLE-In-situ-TEM-observations-on-an-aluminium-alloy-elaborated-by-laser-beam-melting_MRS_2022.pdf";"2021-10/1635407443-518-2022_MAT_BELLO_TITLE-In-situ-TEM-observations-on-an-aluminium-alloy-elaborated-by-laser-beam-melting_MRS_2022.pdf";"";"";"0000000832";"1636103938";"1"
"61";"S080-2";"2";"S080";"conference";"Satcom Virtualisation Platform ";"";"";"Joint European Conference on Networks and Communications & 6G Summit (EUCNC 2021)";"08/06/2021";"11/06/2021";"Porto";"Portugal";"";"";"";"";"";"";"";"";"28/02/2021";"12/04/2021";"16/04/2021";"";"Youssouf Drif, Olivier Gremillet, Ahmad Al Sheikh, Emmanuel Chaput, Emmanuel Lavinaly, Pascal Berthouz, Boris Tiomela Joux, Fabrice Arnal, Jacques Decroix";"IRT Saint Exupery (Drif, Gremillet, Al Sheikh,Decroix); IRIT (Chaput, Lavinal) ; LAAS (Berthou); Airbus Defence and Space (Tiomela)";"";"";"";"";"";"";"";"";"";"";"";"";"0000000472";"1";"Refusé";"1";"40";"61";"doc_final";"0";"2021-11/1636102021-427-1616424423-779-EuCNC-3-.003..pdf";"2021-11/1636100768-320-1616424423-779-EuCNC-3-.003..pdf";"";"";"0000000472";"1636102021";"1"
"69";"S080-3";"3";"S080";"conference";"Slice Aware Non Terrestrial Networks ";"";"";"LOCAL COMPUTER NETWORK 2021";"04/10/2021";"07/10/2021";"virtuel";"Canada";"https://www.ieeelcn.org/";"";"";"";"";"";"";"";"01/06/2021";"25/06/2021";"22/07/2021";"";"Youssouf DRIF, Emmanuel LAVINAL, Emmanuel CHAPUT, Pascal BERTHOU, Boris TIOMELA JOU, Olivier GREMILLET, Fabrice ARNAL";"Youssouf DRIF (IRT/IRIT), Emmanuel LAVINAL (IRIT), Emmanuel CHAPUT (IRIT), Pascal BERTHOU (LAAS), Boris TIOMELA JOU (ADS), Olivier GREMILLET (IRT), Fabrice ARNAL (TAS)";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000472";"1";"Réalisé";"1";"43";"69";"doc_final";"0";"2021-11/1636110163-236-Slice-aware-Non-Terrestrial-Networks.pdf";"2021-11/1636110070-227-Slice-aware-Non-Terrestrial-Networks.pdf";"";"";"0000000472";"1636110163";"1"
"84";"E033-6";"6";"E033";"conference";"Simulation analysis of partial discharge in random wounding insulation systems in aeronautical conditions";"";"";"ICD 2022";"04/07/2022";"07/07/2022";"Palerme";"Italie";"";"";"";"";"";"";"";"";"30/10/2021";"";"";"";"Cyril VAN DE STEEN, Cédric ABADIE, Guillaume BELIJAR";"IRT, IRT, IRT";"";"";"";"";"";"";"";"";"";"";"";"";"0000000383";"1";"Réalisé";"1";"174";"84";"doc_final";"0";"2022-05/1652779556-247-IEEE_ICD2022_Van_de_Steen_Article_Simulation-analysis-of-partial-discharge-in-random.pdf";"2021-11/1636980736-561-IEEE_ICD2022_Van_de_Steen.pdf";"Simulation analysis of partial discharge in random  wounding insulation systems in aeronautical  conditions";"";"0000000798";"1652779556";"1"
"85";"E033-7";"7";"E033";"conference";"Investigation of thermal degradation by dielectric markers correlated to analytic properties drift";"";"";"ICD 2022";"";"";"";"";"";"";"";"";"";"";"";"";"30/10/2021";"";"";"";"Louiza FETOUHI,Marie SABATOU, Mateusz SZCZEPANSKI, Samuel PIN, Cécilien Thomas, Guillaume BELIJAR";"Leroy Somer, IRT, Leroy Somer, IRT, IRT, IRT";"";"";"";"";"";"";"";"";"";"";"";"";"0000000383";"1";"Réalisé";"1";"173";"85";"doc_final";"0";"2022-05/1652778708-923-IEEE_ICD2022_Louiza.Fetouhi_Investigation-of-thermal-degradation-by--dielectric-markers-correlated-to-structural-properties-drift.pdf";"2021-11/1636980950-768-IEEE_ICD2022_Fetouhi_Abstract.pdf";"Investigation of thermal degradation by  dielectric markers correlated to structural properties drift";"";"0000000798";"1652778708";"1"
"86";"E033-8";"8";"E033";"conference";"How does PDIV change during isothermal ageing of magnet wire";"";"";"EIC 2022";"";"";"";"";"";"";"";"";"";"";"";"";"30/10/2021";"";"";"";"Mateusz SZCZEPANSKI, Louiza FETOUHI, Marie Sabatou, Sarah Dreuilhe, Samuel PIN, Cyril VAN DE STEEN, Guillaume BELIJAR";"Leroy Somer, Leroy Somer, IRT, IRT, IRT, IRT, IRT";"";"";"";"";"";"";"";"";"";"";"";"";"0000000383";"1";"Réalisé";"1";"46";"86";"abstract";"0";"";"2021-11/1636981450-308-IEEE_EIC2022_Szczepanski_abstract.pdf";"How does PDIV change during isothermal ageing of magnet wire";"";"0000000798";"1636981450";"1"
