p_id;p_ident;p_number;p_projet;Type_publication;p_titre;p_type_com;p_speaker_invite;p_nom_conference;p_date_debut_conference;p_date_fin_conference;p_ville_conference;p_pays_conference;p_lien_conference;p_nom_journal;p_publication_journal;p_volume_journal;p_pages_journal;p_annee_publication;p_doi;p_url_bdd;p_date_soumission;p_date_notification;p_date_soumission_finale;p_nom_responsable;p_liste_auteurs;p_affiliation;p_directeur_stage;p_date_debut_stage;p_date_fin_stage;p_award;p_date_soutenance_these;p_composition_jury_these;p_etablissement_delivrant_these;p_directeur_these;p_date_debut_these;p_date_fin_these;p_nom_meeting;p_date_meeting;p_auteur;p_avec_abstract;Statut;p_actif
10;M031-1;1;M031;Communication;Influence du traitement thermique post fabrication et d’un vieillissement sur la microstructure d’un alliage Al-Si-Mg élaboré par fabrication additive;;;2ème Journées des Doctorants AddimAlliance;01/07/2﻿021;02/07/2021;Albi;France;http://www.addimalliance.fr/siteWeb/;;;;;;;;01/07/2021;01/07/2021;01/07/2021;;Nicolas BELLO, Cassiopée GALY, Joel DOUIN;IRT/CEMES, IRT , CEMES;;;;non;;;;;;;;;89;0;Réalisé;1
11;M031-2;2;M031;Communication;Presence of Nb rich Carbide during High Temperature Heat treatment on Additively Manufactured IN718;;;2ème Journ2es des Doctorants AddimAlliance;01/07/2021;02/07/2021;Albi;France;http://www.addimalliance.fr/siteWeb/;;;;;;;;01/07/2021;01/07/2021;01/07/2021;;Selda NAYIR, Bertrand MAX, Simon PERUSIN, Todd PALMER;IRT/PennState University, IRT, IRT, PennState University;;;;non;;;;;;;;;89;0;Réalisé;1
12;M031-3;3;M031;Communication;Influence de l’oxydation à 500-600°C sur les propriétés mécaniques en traction de l’alliage TA6V issu de fabrication additive;;;Journées Annuelles du Groupement de Recherche (GdR) COnCOrD (COuplage méCanique Oxydation Diffusion) 2021;07/07/2021;08/07/2021;La Rochelle;France;https://gdr-concord.cnrs.fr/evenement/seminaire-du-gdr-1-a-la-rochelle-le-7-et-8-juillet-2021/;;;;;;;;21/06/2021;21/06/2021;21/06/2021;;Antoine Casadebaigt , Daniel Monceau, Jonathan Hugues;IRT, CIRIMAT, IRT;;;;non;;;;;;;;;89;0;Réalisé;1
17;M031-4;4;M031;Communication;Changes on Textural Properties of Additively Manufactured IN718 during High Temperature Homogenization Process;;;MRS Fall Meeting and Exhibit;28/11/2021;03/12/2021;Boston;USA;https://www.mrs.org/meetings-events/fall-meetings-exhibits/2021-mrs-fall-meeting;;;;;;;;23/06/2021;23/06/2021;23/06/2021;;Selda NAYIR, Bertrand MAX, Simon PERUSIN, Todd PALMER;IRT/PennState University, IRT, IRT, PennState University;;;;non;;;;;;;;;89;0;Réalisé;1
21;M031-5;5;M031;Communication;Sample preparation influence on a direct artificially aged Al-Si-Mg alloy elaborated by laser beam melting;;;TMS2022;27/02/2022;03/03/2022;Anaheim;Autriche;https://www.tms.org/AnnualMeeting/TMS2022;;;;;;;;01/07/2021;01/07/2021;;;Nicolas Bello, Cassiopée Galy, Céline Larignon, Joël Douin;IRT/CEMES, IRT , IRT, CEMES;;;;;;;;;;;;;89;0;Réalisé;1
22;M031-6;6;M031;Communication;TEM dislocation interaction with the microstructure of an Al-Si-Mg alloy elaborated by laser beam melting;;;TMS2022;27/02/2022;03/03/2022;Anaheim;USA;https://www.tms.org/AnnualMeeting/TMS2022;;;;;;;;01/07/2021;;;;Nicolas Bello1, Malo Jullien2, Cassiopée Galy1, Céline Larignon1 et Joël Douin2;IRT / CEMES, CEMES, IRT, IRT, CEMES;;;;non;;;;;;;;;89;1;Réalisé;1
27;M031-7;7;M031;Communication;On the use of X-ray microtomography to control artificial defect geometries produced by metal additive manufacturing;;;ICT Conference 2022 - 11th Conference on Industrial Computed Tomography;08/02/2022;11/02/2022;Wels;Austria;https://3dct.at/cms2/index.php/de/welcome2022;;;;;;;;20/07/2021;;;;Julien Lesseur, Benoit Tranchand;IRT, IRT;;;;non;;;;;;;;;89;1;Réalisé;1
28;M031-8;8;M031;Communication;TEM characterization of an AS7G06 alloy with several heat treatments;;;TMS2022;27/02/2022;03/03/2022;Anaheim;Austria;https://www.tms.org/AnnualMeeting/TMS2022;;;;;;;;;;;;Nicolas Bello, Cassiopée Galy, Céline Larignon, Joël Douin;IRT/CEMES, IRT , IRT, CEMES;;;;non;;;;;;;;;89;1;Réalisé;1
37;V064-1;1;V064;Article journal;Risk assessment of PD appearance in aeronautic cables in view of the voltage increase in Aviation applications;;;;;;;;;MEA : More electric aircraft;20/10/2021;;;;;;;;;;Robin Acheen , Guillaume Belijar, Thierry Lebey ;IRT Saint-Exupery, IRT Saint-Exupery, Safran Toulouse;;;;;;;;;;;;;383;0;Réalisé;1
38;E033-1;1;E033;Article journal;PDIV Numerical And Experimental Estimation In a Needle/Dielectric Film/Plane Configuration;;;;;;;;;Conférence EIC 2021;07/06/2021;;;;;;;;;;Van de steen Cyril, Abadie Cédric, Belijar Guillaume;IRT,IRT,IRT;;;;;;;;;;;;;383;0;Réalisé;1
