Matricule,Doublon,Manquant
43,non,oui
47,oui,non
65,non,oui
66,non,oui
100,non,oui
137,non,oui
145,non,oui
152,oui,non
157,non,oui
170,non,oui
171,non,oui
172,non,oui
173,non,oui
174,non,oui
175,non,oui
176,non,oui
177,non,oui
178,non,oui
179,non,oui
180,non,oui
181,non,oui
182,non,oui
183,non,oui
184,non,oui
185,non,oui
186,non,oui
187,non,oui
188,non,oui
189,non,oui
190,non,oui
191,non,oui
192,non,oui
193,non,oui
194,non,oui
195,non,oui
196,non,oui
197,non,oui
198,non,oui
199,non,oui
204,non,oui
212,non,oui
241,non,oui
248,non,oui
254,oui,non
256,non,oui
271,non,oui
272,non,oui
355,non,oui
357,non,oui
358,non,oui
359,non,oui
430,non,oui
431,non,oui
433,non,oui
436,non,oui
437,non,oui
447,non,oui
461,non,oui
511,non,oui
513,non,oui
514,non,oui
518,non,oui
520,non,oui
524,non,oui
525,non,oui
526,non,oui
527,non,oui
528,non,oui
535,non,oui
574,non,oui
576,non,oui
588,non,oui
598,non,oui
599,non,oui
600,non,oui
601,non,oui
614,non,oui
616,non,oui
630,non,oui
656,non,oui
684,non,oui
694,non,oui
710,non,oui
711,non,oui
712,non,oui
713,non,oui
715,non,oui
724,non,oui
729,non,oui
730,non,oui
733,non,oui
737,non,oui
741,non,oui
742,non,oui
743,non,oui
744,non,oui
745,non,oui
747,non,oui
792,non,oui
802,non,oui
803,non,oui
807,non,oui
808,oui,non
809,non,oui
825,non,oui
841,non,oui
845,non,oui
850,non,oui
851,non,oui
869,non,oui
882,non,oui
887,non,oui
913,non,oui
920,non,oui
968,non,oui
971,non,oui
982,non,oui
986,non,oui
1031,non,oui
1064,non,oui
1074,non,oui
1122,non,oui
1131,non,oui
1145,non,oui
1157,non,oui
1164,non,oui
1190,non,oui
1198,non,oui
1213,non,oui
1216,oui,non
1242,non,oui
1243,non,oui
1283,non,oui
1284,non,oui
1285,non,oui
1287,non,oui
1289,non,oui
1291,non,oui
1295,non,oui
1300,non,oui
1301,non,oui
1302,non,oui
1304,non,oui
1331,non,oui
1332,non,oui
1333,non,oui
1334,non,oui
1345,non,oui
1346,non,oui
1359,non,oui
1361,non,oui
1368,non,oui
1370,non,oui
1371,non,oui
1374,non,oui
1379,non,oui
1380,non,oui
1389,non,oui
1390,non,oui
1399,oui,non
1405,non,oui
1408,non,oui
1409,non,oui
1433,non,oui
1437,non,oui
1445,non,oui
1449,non,oui
1459,non,oui
1466,non,oui
1469,non,oui
1470,non,oui
1472,non,oui
1474,non,oui
